ID	age	sex	n_babies	site	year	pop_size	weight
429	0	f	2	1	1981	147	NA
448	1	m	1	3	1981	147	2.388790268172803
470	0	m	1	2	1981	147	1.828853441963049
491	0	m	0	2	1981	147	3.8462907884093593
505	1	f	2	3	1981	147	3.776668531618151
527	0	f	1	3	1981	147	3.69497167655892
537	0	m	0	3	1981	147	3.15421318660004
562	0	m	2	3	1981	147	NA
600	0	m	1	1	1981	147	1.090644999728411
656	0	f	2	1	1981	147	4.337599386826818
671	0	m	0	1	1981	147	2.9766821454554733
673	1	m	1	1	1981	147	3.629965773281872
707	1	m	0	1	1981	147	NA
719	0	m	2	1	1981	147	1.9030916062569039
721	1	f	1	3	1981	147	4.29795773890291
749	1	f	0	2	1981	147	2.5039043031793824
758	1	m	0	2	1981	147	2.3364589659147494
767	0	m	2	3	1981	147	1.826751450611194
825	0	m	0	2	1981	147	3.525021405419379
854	1	m	1	2	1981	147	2.4048887389931837
859	1	f	2	1	1981	147	4.868155070564905
873	0	f	0	3	1981	147	3.7112287152229495
2	0	f	2	3	1982	149	3.732005203703177
5	0	f	0	1	1982	149	4.413074074399533
9	2	f	1	1	1982	149	3.601053440958869
31	0	m	0	3	1982	149	2.1341900687873325
38	0	f	0	2	1982	149	4.064075823063182
46	1	f	0	3	1982	149	5.395111086498131
56	0	m	2	3	1982	149	2.89917422018069
57	2	m	2	3	1982	149	3.355032685574726
78	0	f	2	2	1982	149	3.153940882222443
84	2	m	0	2	1982	149	3.6055332193488545
130	2	f	2	2	1982	149	5.092004718326253
162	0	f	1	2	1982	149	5.616793429110612
167	2	m	2	2	1982	149	3.8391643318703266
169	2	f	0	2	1982	149	3.3536833124544962
175	1	f	2	2	1982	149	3.744187476128348
198	0	f	0	2	1982	149	5.959396428064344
221	2	f	0	2	1982	149	3.002781872515121
222	2	m	0	2	1982	149	2.865129384080695
232	0	m	0	2	1982	149	1.0550623566406039
255	2	f	2	1	1982	149	NA
257	0	m	0	3	1982	149	2.354547311776473
267	0	m	1	1	1982	149	2.910594459983016
274	0	f	1	3	1982	149	4.971666234130837
294	2	m	1	1	1982	149	2.384412470443123
302	2	f	0	1	1982	149	5.597059657846475
318	1	f	1	2	1982	149	4.52598459383863
324	1	f	1	3	1982	149	4.203063595031979
341	1	f	1	1	1982	149	4.467201491371452
381	1	m	0	1	1982	149	3.340694135504846
411	1	f	2	2	1982	149	2.6669071373137325
415	0	f	1	3	1982	149	4.246826485943423
420	1	m	2	2	1982	149	3.8863690922595904
429	1	f	0	1	1982	149	4.711675421609786
468	0	m	1	1	1982	149	NA
470	1	m	2	2	1982	149	3.1866943600050797
491	1	m	1	2	1982	149	2.630605660286692
505	2	f	1	3	1982	149	4.739533301750612
518	0	f	2	1	1982	149	NA
527	1	f	1	3	1982	149	4.095610612627964
537	1	m	0	3	1982	149	3.8661104187601962
548	0	f	1	1	1982	149	3.2428161720975144
562	1	m	2	3	1982	149	NA
600	1	m	0	1	1982	149	1.26416274356112
642	0	f	2	3	1982	149	3.241923862824322
656	1	f	0	1	1982	149	5.024261112842959
671	1	m	1	1	1982	149	3.3383753747549774
673	2	m	2	1	1982	149	3.082983718632148
679	0	f	2	3	1982	149	4.514103479261851
707	2	m	1	1	1982	149	4.070792294730848
719	1	m	2	1	1982	149	1.6964142365504387
721	2	f	1	3	1982	149	4.888524318337743
749	2	f	1	2	1982	149	3.267911242006264
758	2	m	2	2	1982	149	3.354956663959126
767	1	m	2	3	1982	149	3.3791312505072515
778	0	f	0	2	1982	149	4.439854269201539
793	0	m	2	3	1982	149	3.70400882669022
820	0	f	2	2	1982	149	NA
825	1	m	2	2	1982	149	NA
848	0	m	2	1	1982	149	3.2339602572230115
850	0	m	0	3	1982	149	1.9599654564172666
853	0	m	2	1	1982	149	2.590081371879392
854	2	m	1	2	1982	149	3.1494997601478216
859	2	f	1	1	1982	149	4.451417586547236
873	1	f	1	3	1982	149	4.153305562021075
2	1	f	1	3	1983	150	3.9864035568271694
5	1	f	1	1	1983	150	5.820663565165139
9	3	f	1	1	1983	150	3.653575348525483
10	0	f	0	1	1983	150	2.20195358856193
21	0	f	2	2	1983	150	NA
24	0	f	2	3	1983	150	3.7324145234857458
31	1	m	1	3	1983	150	2.653829068287035
38	1	f	0	2	1983	150	NA
46	2	f	0	3	1983	150	5.7431413146763255
56	1	m	1	3	1983	150	2.4245480053570736
57	3	m	1	3	1983	150	3.529734244169379
68	0	f	0	3	1983	150	3.127212958492495
84	3	m	2	2	1983	150	3.5001960008131165
119	0	m	1	3	1983	150	0.9310278911932954
162	1	f	1	2	1983	150	6.004023818364882
167	3	m	2	2	1983	150	3.4794904465240073
169	3	f	1	2	1983	150	4.062683584605171
175	2	f	1	2	1983	150	4.901432246670404
176	0	m	2	3	1983	150	NA
185	0	m	0	3	1983	150	2.2035116848947927
190	0	m	0	2	1983	150	3.1335617447249455
196	0	m	2	1	1983	150	0.4016470932490883
198	1	f	2	2	1983	150	5.562640259489385
221	3	f	1	2	1983	150	4.123482914239492
222	3	m	0	2	1983	150	NA
232	1	m	2	2	1983	150	0.7690443488625897
255	3	f	0	1	1983	150	5.57630605455602
257	1	m	0	3	1983	150	2.9577557858595123
267	1	m	0	1	1983	150	2.0037729857981867
274	1	f	0	3	1983	150	NA
294	3	m	0	1	1983	150	3.118359197499264
302	3	f	1	1	1983	150	NA
318	2	f	1	2	1983	150	4.453200903469802
324	2	f	0	3	1983	150	4.294424942165829
341	2	f	1	1	1983	150	5.282367796717931
360	0	m	0	2	1983	150	2.3330514112728222
381	2	m	0	1	1983	150	3.8386177182772547
411	2	f	0	2	1983	150	4.010230391779132
415	1	f	2	3	1983	150	NA
420	2	m	1	2	1983	150	2.7907423572541945
449	0	f	0	1	1983	150	4.066977598583365
468	1	m	2	1	1983	150	3.8603866373508913
470	2	m	2	2	1983	150	2.3943296147804114
491	2	m	0	2	1983	150	3.7144527044298763
505	3	f	2	3	1983	150	5.516481882614283
518	1	f	1	1	1983	150	4.737057016378497
527	2	f	0	3	1983	150	4.545314101968302
532	0	m	2	2	1983	150	NA
537	2	m	1	3	1983	150	4.157899594342632
548	1	f	1	1	1983	150	NA
550	0	f	0	2	1983	150	3.6425334364924886
560	0	f	1	2	1983	150	3.960377518422881
562	2	m	0	3	1983	150	2.5759225662604357
591	0	m	0	1	1983	150	2.3840004836095994
600	2	m	0	1	1983	150	1.766501398194636
612	0	f	0	2	1983	150	4.016249234301631
635	0	m	1	2	1983	150	1.9184983597486998
642	1	f	1	3	1983	150	3.2141871191427187
656	2	f	0	1	1983	150	4.399023685247596
671	2	m	1	1	1983	150	3.2771855853706904
673	3	m	2	1	1983	150	NA
679	1	f	1	3	1983	150	3.6934249809166264
707	3	m	2	1	1983	150	5.19794916646964
721	3	f	2	3	1983	150	5.651326767147966
733	0	f	0	2	1983	150	4.1670662494150505
741	0	m	0	1	1983	150	2.440237787523183
749	3	f	2	2	1983	150	2.636988723064658
758	3	m	2	2	1983	150	2.345705777506493
767	2	m	2	3	1983	150	3.40085604743953
778	1	f	2	2	1983	150	4.5812889591175505
820	1	f	1	2	1983	150	4.24664645830277
825	2	m	1	2	1983	150	3.723606046420466
848	1	m	0	1	1983	150	3.628028974879028
850	1	m	2	3	1983	150	1.7110853878579164
853	1	m	1	1	1983	150	2.775255042396954
854	3	m	2	2	1983	150	2.911774315900899
861	0	m	0	1	1983	150	3.3841639316890095
873	2	f	2	3	1983	150	3.4823353192699367
2	2	f	1	3	1984	141	NA
5	2	f	2	1	1984	141	5.16498368290346
9	4	f	1	1	1984	141	4.385096017592216
10	1	f	1	1	1984	141	3.424751684062821
22	0	m	1	3	1984	141	1.932566734024123
24	1	f	1	3	1984	141	3.875020551097337
31	2	m	2	3	1984	141	2.353743879999201
38	2	f	2	2	1984	141	3.728691817718015
46	3	f	0	3	1984	141	5.682449279842564
56	2	m	1	3	1984	141	3.710740051292519
57	4	m	1	3	1984	141	3.832454968909773
68	1	f	1	3	1984	141	4.792770025642257
84	4	m	1	2	1984	141	4.665390026309661
113	0	f	0	1	1984	141	NA
167	4	m	1	2	1984	141	3.9393633511279487
169	4	f	2	2	1984	141	3.806090942286393
175	3	f	0	2	1984	141	5.183637165217003
176	1	m	0	3	1984	141	2.0873280544743267
185	1	m	1	3	1984	141	4.430396195078885
186	0	f	2	1	1984	141	3.9137663191916428
190	1	m	1	2	1984	141	4.290713573007951
196	1	m	0	1	1984	141	2.385174237804762
221	4	f	2	2	1984	141	4.28323533188622
222	4	m	2	2	1984	141	3.1092339897514916
232	2	m	0	2	1984	141	1.8349403952686552
255	4	f	1	1	1984	141	4.816753560483529
257	2	m	0	3	1984	141	2.5610394977952273
274	2	f	2	3	1984	141	4.917828405806919
294	4	m	2	1	1984	141	3.8836410068051737
302	4	f	0	1	1984	141	5.583120303739119
318	3	f	1	2	1984	141	5.503327799761136
324	3	f	1	3	1984	141	5.430726359071894
341	3	f	2	1	1984	141	4.44206329220571
370	0	f	0	1	1984	141	2.558887667910296
377	0	f	0	2	1984	141	3.8382105780821836
381	3	m	0	1	1984	141	4.137424195590656
411	3	f	1	2	1984	141	4.731215079045196
415	2	f	0	3	1984	141	4.283525519657137
420	3	m	0	2	1984	141	3.6642908940508723
449	1	f	1	1	1984	141	NA
468	2	m	1	1	1984	141	3.21143998503264
470	3	m	0	2	1984	141	3.6387835941801527
491	3	m	1	2	1984	141	3.5227942440628395
502	0	f	2	2	1984	141	4.069353454789427
505	4	f	0	3	1984	141	6.783108517906087
518	2	f	0	1	1984	141	4.25936189643568
527	3	f	1	3	1984	141	NA
532	1	m	0	2	1984	141	2.524312130407544
537	3	m	1	3	1984	141	3.879482770618859
548	2	f	0	1	1984	141	3.9629317117185137
550	1	f	2	2	1984	141	NA
560	1	f	1	2	1984	141	4.099145931082357
562	3	m	0	3	1984	141	3.659151930811715
591	1	m	1	1	1984	141	2.6153210667798747
592	0	m	2	1	1984	141	1.6674150546359596
600	3	m	2	1	1984	141	2.304055214635224
612	1	f	2	2	1984	141	4.489468901680716
625	0	m	2	3	1984	141	2.180414675394956
635	1	m	1	2	1984	141	3.1572414575031007
642	2	f	0	3	1984	141	4.048066124577045
647	0	f	1	2	1984	141	5.441484839440412
650	0	f	1	2	1984	141	4.338296639571953
651	0	m	1	1	1984	141	2.0739544952116082
656	3	f	1	1	1984	141	4.580487825341134
658	0	f	0	3	1984	141	4.121983582308911
671	3	m	0	1	1984	141	3.370650738614461
673	4	m	2	1	1984	141	3.330013952135517
679	2	f	1	3	1984	141	3.8198245076650728
693	0	f	0	3	1984	141	3.167602435969925
707	4	m	0	1	1984	141	5.357382562670493
721	4	f	0	3	1984	141	5.739470754471162
733	1	f	2	2	1984	141	4.98300646810569
741	1	m	1	1	1984	141	2.9534923362360885
749	4	f	0	2	1984	141	4.259741118409285
751	0	m	2	3	1984	141	NA
758	4	m	1	2	1984	141	4.442918545942406
767	3	m	1	3	1984	141	NA
776	0	m	1	1	1984	141	1.9818263460087926
778	2	f	2	2	1984	141	4.863962715365462
779	0	f	0	2	1984	141	3.968335562469633
820	2	f	1	2	1984	141	4.493304079526397
825	3	m	0	2	1984	141	4.927726448286845
830	0	f	1	1	1984	141	3.5051670019180166
834	0	m	0	2	1984	141	1.9165894312672742
848	2	m	1	1	1984	141	4.064859514051559
850	2	m	2	3	1984	141	3.0978939582618232
853	2	m	1	1	1984	141	3.1853283772727705
854	4	m	0	2	1984	141	4.335445476767172
855	0	m	1	3	1984	141	0.7492979986505632
861	1	m	2	1	1984	141	3.1314664899228992
873	3	f	0	3	1984	141	4.0384796782250945
2	3	f	1	3	1985	152	3.572499969357711
5	3	f	2	1	1985	152	5.12927155568587
10	2	f	2	1	1985	152	NA
22	1	m	1	3	1985	152	1.9068732961931127
24	2	f	0	3	1985	152	3.0226524781040545
31	3	m	2	3	1985	152	1.4322455111074737
38	3	f	0	2	1985	152	3.8646995319721977
46	4	f	2	3	1985	152	5.612457769386682
56	3	m	2	3	1985	152	3.281720935337519
57	5	m	2	3	1985	152	4.050116125429189
68	2	f	0	3	1985	152	3.1831287194753464
84	5	m	1	2	1985	152	3.0442874728763623
85	0	m	0	1	1985	152	1.4874526560729138
113	1	f	2	1	1985	152	3.4751156779261243
167	5	m	1	2	1985	152	3.019356183569294
169	5	f	2	2	1985	152	5.130761191684547
175	4	f	1	2	1985	152	4.530933030544706
176	2	m	1	3	1985	152	3.2026206165104694
185	2	m	1	3	1985	152	3.6169628770307254
186	1	f	2	1	1985	152	NA
190	2	m	0	2	1985	152	3.8528768078645914
202	0	f	1	2	1985	152	5.063175949451726
221	5	f	0	2	1985	152	NA
222	5	m	0	2	1985	152	3.4705173860395577
230	0	f	2	1	1985	152	3.7927270110554083
232	3	m	0	2	1985	152	2.3386216605859795
255	5	f	0	1	1985	152	5.757379041979647
257	3	m	2	3	1985	152	4.570394689253794
274	3	f	2	3	1985	152	NA
281	0	m	0	2	1985	152	1.2387867044031728
294	5	m	0	1	1985	152	4.481092925401758
302	5	f	1	1	1985	152	6.663706839028181
304	0	f	0	2	1985	152	3.2779105877656836
305	0	m	0	3	1985	152	0.23239837480019965
318	4	f	2	2	1985	152	4.532583104056586
341	4	f	2	1	1985	152	6.407277155973395
370	1	f	1	1	1985	152	2.9618543186788844
377	1	f	1	2	1985	152	4.614425063563552
381	4	m	0	1	1985	152	3.7111169476481773
411	4	f	2	2	1985	152	NA
420	4	m	2	2	1985	152	4.001663517113585
444	0	m	0	2	1985	152	1.9598957958739147
447	0	f	0	3	1985	152	2.7870974414825653
449	2	f	0	1	1985	152	4.148777892992624
462	0	f	0	3	1985	152	1.8496043658587649
468	3	m	1	1	1985	152	3.356077631514836
470	4	m	0	2	1985	152	3.7391730751734515
491	4	m	1	2	1985	152	3.431810225478388
501	0	f	1	3	1985	152	2.9041660141379735
502	1	f	1	2	1985	152	4.485684033667315
505	5	f	2	3	1985	152	6.607958858966785
518	3	f	1	1	1985	152	4.7582546864899005
525	0	f	2	1	1985	152	3.3628756271252245
526	0	f	0	1	1985	152	2.8395104190802445
527	4	f	2	3	1985	152	3.9478468760821768
532	2	m	0	2	1985	152	3.0876359967496594
537	4	m	0	3	1985	152	3.508061594144218
548	3	f	1	1	1985	152	4.148377502680558
550	2	f	2	2	1985	152	3.977057757765538
560	2	f	0	2	1985	152	5.117536774097011
562	4	m	0	3	1985	152	3.1430168023919767
591	2	m	1	1	1985	152	3.6189947849670805
592	1	m	1	1	1985	152	2.302366075769915
594	0	m	1	1	1985	152	NA
600	4	m	0	1	1985	152	2.5384043635520177
601	0	m	1	3	1985	152	0.33425657992817287
612	2	f	0	2	1985	152	4.003625904777675
625	1	m	1	3	1985	152	2.604684881947729
635	2	m	0	2	1985	152	3.65427495902043
642	3	f	0	3	1985	152	4.544905952334691
647	1	f	0	2	1985	152	4.557534060997309
650	1	f	1	2	1985	152	3.8447535376318966
651	1	m	2	1	1985	152	1.2117040690044556
656	4	f	2	1	1985	152	5.522665930216095
658	1	f	2	3	1985	152	4.0882444904836035
673	5	m	1	1	1985	152	3.4713970700552284
676	0	f	2	3	1985	152	3.8686179134360934
679	3	f	0	3	1985	152	3.6103559363860884
693	1	f	1	3	1985	152	2.5016824280415735
707	5	m	0	1	1985	152	5.278443020177333
721	5	f	0	3	1985	152	6.869956899785441
733	2	f	2	2	1985	152	4.697039589875149
741	2	m	0	1	1985	152	2.5090668160564595
749	5	f	2	2	1985	152	4.840169233689291
751	1	m	0	3	1985	152	2.855202803967663
758	5	m	0	2	1985	152	3.283293239575431
761	0	f	2	1	1985	152	3.673606670971835
763	0	f	2	1	1985	152	4.536053203381538
767	4	m	2	3	1985	152	4.176991066534051
776	1	m	1	1	1985	152	1.691204741904473
778	3	f	2	2	1985	152	5.683890172157724
779	1	f	0	2	1985	152	5.184997119831461
783	0	f	1	1	1985	152	2.8961205995062747
820	3	f	0	2	1985	152	5.078509620801744
825	4	m	0	2	1985	152	4.223976177629337
830	1	f	2	1	1985	152	3.978082192456144
834	1	m	0	2	1985	152	1.4981191648702759
848	3	m	1	1	1985	152	NA
850	3	m	1	3	1985	152	NA
851	0	m	2	2	1985	152	1.4945888536130463
852	0	m	2	2	1985	152	2.5286900818039983
853	3	m	0	1	1985	152	2.8394037951727764
854	5	m	2	2	1985	152	4.023797947558556
855	1	m	1	3	1985	152	NA
861	2	m	1	1	1985	152	NA
873	4	f	0	3	1985	152	5.7402600801109385
2	4	f	1	3	1986	139	NA
5	4	f	0	1	1986	139	5.639660485877218
10	3	f	1	1	1986	139	4.3827635278653565
22	2	m	0	3	1986	139	3.652463841449002
24	3	f	1	3	1986	139	5.028610392652672
25	0	f	2	1	1986	139	2.96269967451806
29	0	f	0	1	1986	139	3.6061313170181464
31	4	m	2	3	1986	139	3.954867629331965
34	0	f	0	1	1986	139	5.207283933092469
46	5	f	1	3	1986	139	5.781164589274021
56	4	m	2	3	1986	139	3.693104595223934
68	3	f	0	3	1986	139	4.519290919100984
84	6	m	1	2	1986	139	4.799491095168251
90	0	m	1	2	1986	139	1.9356241685784856
105	0	f	1	3	1986	139	NA
113	2	f	1	1	1986	139	4.759680081495919
167	6	m	2	2	1986	139	3.571050299165015
175	5	f	0	2	1986	139	NA
176	3	m	1	3	1986	139	3.3997544750497783
185	3	m	1	3	1986	139	4.426555912856431
186	2	f	1	1	1986	139	4.731906309575598
190	3	m	0	2	1986	139	4.213444112240211
194	0	m	1	1	1986	139	0.37929321216658596
202	1	f	2	2	1986	139	4.209487072786474
221	6	f	1	2	1986	139	5.835556059534286
228	0	f	1	2	1986	139	4.44249235448977
230	1	f	0	1	1986	139	5.077833925796778
232	4	m	1	2	1986	139	2.6760997838525262
239	0	f	0	3	1986	139	3.431505932941312
255	6	f	0	1	1986	139	7.368261686466353
257	4	m	1	3	1986	139	4.66734479890381
262	0	m	2	1	1986	139	2.697051497888029
274	4	f	0	3	1986	139	5.208826967312626
281	1	m	1	2	1986	139	0.4723928358357389
288	0	m	1	3	1986	139	1.8106395641649506
294	6	m	2	1	1986	139	NA
299	0	m	0	1	1986	139	2.1375267706480994
302	6	f	0	1	1986	139	NA
304	1	f	2	2	1986	139	4.5174923746642195
305	1	m	1	3	1986	139	NA
315	0	m	0	2	1986	139	NA
317	0	m	2	3	1986	139	1.7134504169262306
318	5	f	0	2	1986	139	6.105321368962945
321	0	f	1	3	1986	139	5.034026256019234
330	0	m	1	3	1986	139	2.3813660782397146
341	5	f	0	1	1986	139	5.502386938278766
370	2	f	1	1	1986	139	3.0430612340525403
377	2	f	0	2	1986	139	4.4127250372819375
381	5	m	1	1	1986	139	5.234553554763682
393	0	m	1	1	1986	139	3.319733808537491
411	5	f	1	2	1986	139	6.067482078427173
420	5	m	0	2	1986	139	4.611432135764184
444	1	m	2	2	1986	139	2.843224596500497
447	1	f	2	3	1986	139	2.904514864611311
449	3	f	1	1	1986	139	5.599039258696187
462	1	f	2	3	1986	139	2.836326494490182
468	4	m	0	1	1986	139	3.7456920010027717
470	5	m	2	2	1986	139	3.56392515059321
501	1	f	2	3	1986	139	4.215272972401573
502	2	f	1	2	1986	139	5.437534750333902
505	6	f	1	3	1986	139	6.8360065275535815
518	4	f	0	1	1986	139	5.444549492597391
525	1	f	2	1	1986	139	NA
526	1	f	0	1	1986	139	3.765496117835078
527	5	f	2	3	1986	139	5.118940761453467
532	3	m	0	2	1986	139	3.429608479918756
537	5	m	2	3	1986	139	5.481938364891901
548	4	f	1	1	1986	139	4.554051561041096
550	3	f	1	2	1986	139	5.733692928322024
560	3	f	0	2	1986	139	NA
562	5	m	0	3	1986	139	3.650393715507308
578	0	m	2	3	1986	139	2.5491070642748572
581	0	f	0	3	1986	139	4.45099440971172
583	0	m	2	2	1986	139	0.7908470360185627
591	3	m	0	1	1986	139	3.939179259879263
592	2	m	0	1	1986	139	3.7748440554044906
594	1	m	1	1	1986	139	2.7892104984379924
600	5	m	2	1	1986	139	3.085115953385089
601	1	m	2	3	1986	139	2.3033176354609086
612	3	f	1	2	1986	139	5.945573597781761
622	0	f	1	1	1986	139	5.3178808244120415
625	2	m	2	3	1986	139	2.703216540049417
630	0	f	2	1	1986	139	4.576271827444886
635	3	m	2	2	1986	139	3.4852420954345096
642	4	f	2	3	1986	139	5.315797209395472
647	2	f	0	2	1986	139	5.920161896444669
651	2	m	0	1	1986	139	3.1808451902545807
656	5	f	1	1	1986	139	6.37576935688013
658	2	f	1	3	1986	139	4.398566443140371
662	0	m	0	2	1986	139	3.4308896640768096
673	6	m	1	1	1986	139	4.836067141516591
676	1	f	0	3	1986	139	3.5122478031738655
680	0	f	0	1	1986	139	3.8866223717346653
693	2	f	1	3	1986	139	4.863920309042514
707	6	m	0	1	1986	139	6.109228717268041
708	0	m	0	3	1986	139	1.713458655031854
711	0	f	2	1	1986	139	4.7903584837876805
721	6	f	2	3	1986	139	6.760688738452379
735	0	f	0	3	1986	139	3.63956627859341
741	3	m	0	1	1986	139	3.2644870925920384
749	6	f	0	2	1986	139	5.818043166422709
751	2	m	0	3	1986	139	3.623715169602514
758	6	m	2	2	1986	139	NA
761	1	f	2	1	1986	139	4.703242191161387
767	5	m	2	3	1986	139	NA
776	2	m	2	1	1986	139	2.4758010959234156
778	4	f	2	2	1986	139	6.189639539237809
779	2	f	0	2	1986	139	5.043506283839987
782	0	m	1	3	1986	139	0.4686755071505265
783	1	f	0	1	1986	139	4.852945887478669
794	0	f	0	1	1986	139	4.748368998465368
811	0	f	1	3	1986	139	3.7679335038359376
820	4	f	2	2	1986	139	5.3080514542607835
825	5	m	2	2	1986	139	5.093583303992015
830	2	f	0	1	1986	139	NA
834	2	m	1	2	1986	139	2.555398792131305
848	4	m	2	1	1986	139	4.244896720207344
850	4	m	2	3	1986	139	4.3442766570371365
852	1	m	0	2	1986	139	3.150184027762802
853	4	m	2	1	1986	139	4.601819757395799
854	6	m	1	2	1986	139	4.675490991527218
855	2	m	2	3	1986	139	NA
861	3	m	0	1	1986	139	5.013366645752252
866	0	m	1	2	1986	139	2.2014662094650963
873	5	f	2	3	1986	139	5.735542861740405
2	5	f	0	3	1987	155	5.316704586454247
5	5	f	1	1	1987	155	4.936693218001882
10	4	f	0	1	1987	155	4.348379154279268
14	0	f	2	1	1987	155	2.338091693246989
22	3	m	1	3	1987	155	3.113471635274457
24	4	f	0	3	1987	155	4.513415915086121
25	1	f	0	1	1987	155	2.8143157385760325
29	1	f	1	1	1987	155	2.80942587285224
31	5	m	2	3	1987	155	3.753246012167602
34	1	f	1	1	1987	155	4.654588097563762
36	0	m	1	1	1987	155	1.456753452942805
46	6	f	1	3	1987	155	5.786476764128115
56	5	m	2	3	1987	155	3.425771136949079
68	4	f	2	3	1987	155	4.691849259542774
84	7	m	1	2	1987	155	5.796086366103412
90	1	m	1	2	1987	155	2.22302600989091
105	1	f	1	3	1987	155	3.8710655934135003
113	3	f	2	1	1987	155	5.65598418894497
167	7	m	2	2	1987	155	4.506653532129668
175	6	f	1	2	1987	155	6.237458094776136
176	4	m	1	3	1987	155	4.0362845634535205
185	4	m	1	3	1987	155	3.586627684145764
186	3	f	2	1	1987	155	6.012913162773483
190	4	m	0	2	1987	155	5.186166459483132
194	1	m	1	1	1987	155	0.9501943307530122
202	2	f	1	2	1987	155	4.601837011262515
221	7	f	1	2	1987	155	NA
228	1	f	0	2	1987	155	5.0951357958864785
230	2	f	1	1	1987	155	4.539592087590292
239	1	f	1	3	1987	155	4.496021594738864
255	7	f	0	1	1987	155	5.996041454619886
257	5	m	0	3	1987	155	3.563016722948709
262	1	m	2	1	1987	155	3.0932659549304735
274	5	f	1	3	1987	155	6.591866890225838
277	0	m	0	1	1987	155	NA
281	2	m	1	2	1987	155	1.1277023414558407
288	1	m	0	3	1987	155	2.103936624511815
294	7	m	0	1	1987	155	4.9310858244881235
299	1	m	1	1	1987	155	2.4862576669414227
302	7	f	1	1	1987	155	7.069869499027558
304	2	f	0	2	1987	155	5.991819581500116
305	2	m	2	3	1987	155	1.5823366069388733
307	0	f	2	1	1987	155	5.0725875749664375
315	1	m	2	2	1987	155	2.2873960572075474
317	1	m	0	3	1987	155	2.320634463110854
318	6	f	2	2	1987	155	6.335992202013351
321	1	f	0	3	1987	155	6.2121140054105926
330	1	m	2	3	1987	155	1.8326712486125907
341	6	f	0	1	1987	155	5.992463053805323
370	3	f	1	1	1987	155	3.7073789807128867
372	0	m	2	3	1987	155	2.5544490403367863
377	3	f	0	2	1987	155	5.219506202254752
381	6	m	1	1	1987	155	5.410570550526257
393	1	m	0	1	1987	155	2.448169963911405
399	0	f	2	2	1987	155	NA
407	0	f	2	3	1987	155	4.0991265083061785
411	6	f	0	2	1987	155	5.535663185589053
414	0	m	2	1	1987	155	1.3890892291319166
420	6	m	2	2	1987	155	3.7115902041420163
444	2	m	1	2	1987	155	2.07254940174474
447	2	f	1	3	1987	155	4.237504079915834
449	4	f	1	1	1987	155	5.65960482300714
462	2	f	0	3	1987	155	1.8662490956105677
468	5	m	2	1	1987	155	4.838325367005228
470	6	m	0	2	1987	155	4.596829301050782
484	0	f	1	3	1987	155	2.3342737027950733
501	2	f	1	3	1987	155	5.40944466180563
502	3	f	2	2	1987	155	5.698809150004625
505	7	f	1	3	1987	155	7.4056534386861355
518	5	f	1	1	1987	155	5.266211221461886
525	2	f	0	1	1987	155	3.0876579217154565
526	2	f	0	1	1987	155	5.021109655844491
527	6	f	1	3	1987	155	5.5004419202100605
532	4	m	0	2	1987	155	4.397407901008398
537	6	m	1	3	1987	155	5.143783726593164
543	0	m	1	3	1987	155	2.928688496259619
544	0	m	0	3	1987	155	3.239328980897977
548	5	f	2	1	1987	155	5.005421654461111
550	4	f	1	2	1987	155	5.997307475985037
560	4	f	0	2	1987	155	4.9947258460258634
562	6	m	0	3	1987	155	NA
